"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Abara","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1"
"Abarwuha","0.14","1","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","0.08","0.03","1","1","1","1"
"Abaselima","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1"
"Abina","0.05","1","1","1","0.08","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AbrahaAtsbaha","0.08","1","1","1","0.32","1","0.24","0.24","1","0.03","1","1","1","0.27","1","1","1","1","1","0.05","1","0.14","1","1","1","1","0.16","0.19","1","1","1","1","0.14","1","1","1","0.32"
"Abrekuy","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1"
"AdekeAla","0.03","1","1","1","0.11","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","0.14","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1"
"Adekiney","0.24","1","1","1","0.19","1","0.3","1","1","1","1","1","1","0.19","1","1","1","1","1","0.08","1","0.03","0.05","1","1","0.3","1","0.22","0.35","0.14","0.38","1","0.14","1","1","1","0.32"
"AderSeg","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Adibearj","1","1","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AdiHa","0.05","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AdiKisandid","0.11","1","1","1","0.38","1","0.22","0.27","1","0.05","1","1","1","0.27","1","1","1","1","1","0.08","1","0.05","0.3","1","1","0.38","0.16","0.19","1","1","1","1","0.16","1","1","1","0.38"
"Adisalem","0.16","1","1","0.14","0.19","1","0.22","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.08","1","0.24","1","1","1","1","0.11","0.03","1","1","1","1"
"AdisAlemS","0.03","1","1","1","0.14","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","0.08","1","1","1","1","1","1","1","1","1"
"AdisAlemW","0.08","1","1","1","1","1","1","0.19","1","1","1","1","1","0.14","1","1","1","1","1","0.11","1","1","0.03","1","1","1","1","1","1","0.08","1","1","0.16","1","1","1","1"
"Adiselam","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Adishimbirkti","1","0.05","0.22","1","0.03","0.32","1","1","1","0.27","0.19","1","0.19","1","1","1","1","1","0.19","0.24","1","0.19","1","1","1","0.38","1","0.3","1","1","1","0.35","0.08","1","1","1","1"
"AdisKigni","0.22","0.11","0.32","0.3","0.11","0.59","1","0.57","1","0.46","1","1","0.19","1","1","1","1","1","1","0.35","1","0.14","1","0.41","1","0.41","1","0.24","0.27","0.57","0.16","0.05","0.03","0.43","0.49","1","0.51"
"Adiyikoro","0.11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1","0.03","1","1","0.11","1","1","1","1"
"Adizata","0.14","1","1","1","1","1","0.19","1","1","1","1","1","1","0.14","1","1","1","1","1","0.16","1","1","0.03","1","1","1","1","1","1","0.05","1","1","0.08","1","1","1","1"
"Adreb","1","1","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1","1","1","1"
"AgazenMeda","0.38","0.46","1","1","0.14","1","0.46","1","1","0.32","1","0.27","1","0.22","0.24","1","0.32","0.11","0.35","1","1","0.19","0.41","0.11","0.19","1","0.49","1","1","1","1","0.03","0.11","1","1","1","1"
"Agazi","0.14","0.49","0.3","1","0.35","1","0.24","0.27","1","0.11","1","0.49","1","1","1","1","1","1","1","0.03","1","0.11","0.19","1","1","0.35","0.22","0.49","1","0.49","1","0.49","0.11","1","1","1","0.16"
"Agbe","0.03","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Agela","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Agid","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AlemeTesfa","0.11","0.49","1","0.24","0.08","1","0.14","0.59","1","0.19","0.41","1","1","0.49","0.38","1","0.16","0.27","1","0.54","0.38","0.22","0.54","0.49","0.32","0.68","0.62","0.32","1","1","0.68","0.05","0.03","0.59","1","1","1"
"AmdiWeyane","0.03","1","1","1","0.08","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Amedwuha","1","0.16","0.16","1","0.19","1","1","1","1","0.16","1","1","0.05","1","1","1","1","1","1","0.24","1","0.03","1","1","1","1","1","1","1","1","0.22","1","0.16","1","1","1","1"
"Ameno","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Amisetya","1","1","1","1","0.03","1","1","1","1","0.05","0.14","1","1","1","1","1","1","1","1","1","1","0.08","1","1","1","1","1","1","1","1","1","0.16","0.14","1","1","1","1"
"Angot","1","1","1","1","1","1","1","1","1","0.08","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","0.03","1","1","1","1"
"Anigot","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ansheb","0.16","1","1","0.08","0.05","1","0.11","1","1","0.16","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.19","1","1","1","0.22","1","1","1","0.03","1","1","1","1"
"AquaShumoch","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Aquha","0.19","1","1","1","0.03","1","1","1","1","0.14","0.22","1","1","1","1","1","1","0.05","1","1","1","0.11","1","1","1","1","1","0.24","1","1","1","0.16","0.08","1","1","1","1"
"Arena","0.11","1","1","1","0.03","1","1","0.11","1","1","1","1","1","1","1","1","1","1","1","0.11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Asmena","0.22","1","0.3","0.35","0.38","1","0.16","1","1","0.05","1","1","1","0.24","1","1","1","0.46","1","0.11","1","0.11","0.14","1","1","1","0.46","0.46","1","0.22","0.35","0.49","0.05","1","1","1","0.27"
"Asta","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Atakilti","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AwetBikalsi","0.03","1","1","1","0.11","1","1","0.11","1","1","1","1","1","1","1","1","1","1","1","0.05","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"AwusaMeda","0.08","1","1","0.22","0.11","1","0.22","1","1","0.14","1","1","1","1","1","1","1","0.43","1","1","0.38","0.05","0.3","1","0.24","0.3","0.35","1","1","1","0.32","0.22","0.03","1","0.41","1","1"
"Ayba","0.3","0.03","0.32","0.38","0.16","1","1","1","1","0.11","1","1","0.27","0.51","1","1","1","1","1","0.05","1","0.14","1","1","1","0.22","1","0.24","1","0.38","0.22","0.41","0.08","1","0.51","0.51","0.43"
