"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.51","0.3","0.11","0.3","0.51","0.24",,"0.53"
"1984-1977","0.08","0.35","0.03","0.03","0.08","0.11",,"0.03"
"1985-1978","0.22","0.49","0.32","0.46","0.22","0.7",,"0.81"
"1986-1979","0.46","0.65","0.68","0.95","0.46","0.97",,"0.94"
"1987-1980","0.86","0.76","1","0.86","0.86","0.65",,"0.84"
"1988-1981","0.3","0.89","0.65","0.78","0.3","0.27",,"0.62"
"1989-1982","0.92","0.46","0.78","0.92","0.92","0.84",,"0.38"
"1990-1983","0.24","0.24","0.19","0.3","0.24","0.76",,"0.16"
"1991-1984","0.68","0.84","0.73","0.51","0.68","0.3",,"0.78"
"1992-1985","0.03","0.05","0.05","0.16","0.03","0.43",,"0.88"
"1993-1986","0.62","0.7","0.76","0.35","0.62","0.78",,"0.22"
"1994-1987","0.84","0.68","0.7","0.73","0.84","0.51",,"0.28"
"1995-1988","0.19","0.16","0.08","0.05","0.19","0.57",,"0.75"
"1996-1989","0.97","1","1","0.49","0.97","0.95",,"0.56"
"1997-1990","0.95","0.89","1","0.76","0.95","0.92",,"0.5"
"1998-1991","0.84","0.3","0.46","0.84","0.84","0.16",,"0.31"
"1999-1992","0.43","0.14","0.49","0.24","0.43","0.68",,"0.47"
"2000-1993","0.41","0.41","0.41","0.11","0.41","0.81",,"0.12"
"2001-1994","0.11","0.38","0.57","0.89","0.11","1",,"0.25"
"2002-1995","0.05","0.11","0.27","0.19","0.05","0.35",,"0.06"
"2003-1996","0.16","0.65","0.59","0.24","0.16","0.32",,"0.59"
"2004-1997","0.35","0.24","0.14","0.65","0.35","0.59",,"0.19"
"2005-1998","0.54","0.24","0.22","0.16","0.54","0.73",,"0.69"
"2006-1999","0.49","0.43","0.43","0.38","0.49","0.46",,"0.44"
"2007-2000","0.57","0.81","0.62","0.81","0.57","0.89","0.91","1"
"2008-2001","0.59","0.78","1","0.68","0.59","0.54","0.09","0.91"
"2009-2002","0.73","0.51","0.81","0.41","0.73","0.05","1","0.66"
"2010-2003","0.7","1","1","0.73","0.7","0.08","0.36","0.97"
"2011-2004","0.84","0.65","0.54","0.08","0.84","0.49","0.27","0.34"
"2012-2005","0.38","0.57","0.51","0.59","0.38","0.38","0.64","0.72"
"2013-2006","0.27","0.03","0.16","0.65","0.27","0.62","0.55","0.09"
"2014-2007","0.35","0.32","0.3","0.59","0.35","0.19","0.82","0.41"
"2015-2008","0.14","0.08","0.24","0.54","0.14","0.14","0.18",
"2016-2009","0.76","0.73","0.38","0.32","0.76","0.41","0.73",
"2017-2010","0.65","0.54","0.35","0.43","0.65","0.22","0.45",
"2018-2011","0.89","1","1","0.97","0.89","0.03",,
"2019-2012","1","1","1","1","1","0.86",,
