"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","14","36","0.16","75","1","62.2","0.08","57","0.11","35.7917292834967","0.16","0.239639999596416","0.7",,,"7.49192956793174","0.03"
"1984-1977","50","24","0.11","75","1","75","1","75","1","24.4670328","0.11","0.199805217306178","0.05",,,"15.0860495438521","0.09"
"1985-1978","0","47","0.35","75","1","75","1","75","1","47.0344351","0.35","0.207179756770505","0.11",,,"42.96849949025","0.56"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.229816811871902","0.49",,,"33.1649966025493","0.38"
"1987-1980","93","11","0.03","75","1","65.2","0.14","74","0.38","11.1313730677778","0.03","0.229640880869099","0.46",,,"13.6048195815566","0.06"
"1988-1981","0","62","0.65","75","1","75","1","75","1","62.262721","0.65","0.24486539800372","0.84",,,"40.1950921465661","0.5"
"1989-1982","11","36","0.22","75","1","75","1","67","0.22","36.484808","0.22","0.212010519062775","0.19",,,"48.1501695287327","0.66"
"1990-1983","0","54","0.54","75","1","75","1","68","0.27","54.388035","0.54","0.213470203971417","0.24",,,"26.0745990676056","0.22"
"1991-1984","0","52","0.49","75","1","75","1","75","1","51.617262","0.49","0.219313719212964","0.35",,,"23.5833606054145","0.16"
"1992-1985","0","48","0.41","75","1","50","0.03","50","0.05","47.872365","0.41","0.234928096855638","0.57",,,"41.1628294350611","0.53"
"1993-1986","0","65","0.73","75","1","75","1","75","1","64.787987","0.73","0.206547372073434","0.08",,,"59.1351299873673","0.75"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.235436846394238","0.59",,,"64.9664208123755","0.88"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.231186143475652","0.54",,,"73.2344874606275","1"
"1996-1989","0","75","1","75","1","75","1","68","0.27","75","1","0.217687595557367","0.32",,,"32.5443446987694","0.34"
"1997-1990","0","60","0.62","75","1","73.8","0.24","75","1","60.17589","0.62","0.212866355000001","0.22",,,"28.649981167585","0.28"
"1998-1991","0","68","0.78","75","1","75","1","75","1","68.1274937","0.78","0.24406182843177","0.78",,,"59.6131592796356","0.78"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.224952767726052","0.41",,,"63.6937554119909","0.84"
"2000-1993","0","58","0.57","75","1","75","1","75","1","57.503787","0.57","0.2503062","0.95",,,"24","0.19"
"2001-1994","0","42","0.3","75","1","66.7","0.16","75","1","42.187046","0.3","0.2456561","0.86",,,"36.7","0.47"
"2002-1995","55","23","0.08","75","1","67.7","0.19","55","0.08","22.933756","0.08","0.2072821","0.14",,,"19.3","0.12"
"2003-1996","42","27","0.14","75","1","75","1","75","1","26.8541622","0.14","0.2270937","0.43",,,"43.8","0.59"
"2004-1997","0","40","0.24","75","1","59.7","0.05","50","0.05","39.9179822","0.24","0.2103528","0.16",,,"28.2","0.25"
"2005-1998","0","47","0.38","75","1","75","1","70","0.3","47.298462","0.38","0.2148274","0.3",,,"44.6","0.62"
"2006-1999","0","41","0.27","75","1","70.3","0.22","75","1","41.0343439","0.27","0.2435371","0.76",,,"62.3","0.81"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.246076","0.89","2.346774","0.64","70","0.97"
"2008-2001","0","47","0.32","75","1","75","1","74","0.38","46.536011","0.32","0.236697","0.62","1.266129","0.09","69.9","0.94"
"2009-2002","0","50","0.43","75","1","75","1","59","0.16","49.9676394","0.43","0.2140237","0.27","1.709677","0.27","36.4","0.41"
"2010-2003","0","75","1","75","1","75","1","65","0.19","75","1","0.2461218","0.92","2.225806","0.55","67.6","0.91"
"2011-2004","0","63","0.7","75","1","75","1","75","1","63.01505","0.7","0.2541195","1","2.362903","0.73","36.5","0.44"
"2012-2005","0","52","0.51","75","1","75","1","75","1","52.180428","0.51","0.244296","0.81","1.983871","0.36","32.4","0.31"
"2013-2006","0","60","0.59","75","1","75","1","75","1","59.5309568","0.59","0.2246987","0.38","2.024194","0.45","56.9","0.72"
"2014-2007","0","52","0.46","75","1","75","1","75","1","51.597531","0.46","0.2534278","0.97","3.580645","1","53.7","0.69"
"2015-2008","0","67","0.76","75","1","62.6","0.11","59","0.16","66.888562","0.76","0.1927358","0.03","1.475806","0.18",,
"2016-2009","0","62","0.68","75","1","75","1","75","1","62.2754186","0.68","0.2301627","0.51","2.846774","0.82",,
"2017-2010","12","36","0.19","75","1","75","1","75","1","36.1631037","0.19","0.2417652","0.73","3.266129","0.91",,
"2018-2011","0","71","0.81","75","1","75","1","75","1","71.437907","0.81","0.238824","0.65",,,,
"2019-2012","64","20","0.05","75","1","75","1","74","0.38","20.150552","0.05","0.2388419","0.68",,,,
