"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.24","1","0.14","1","0.24","0.78",,"0.06"
"1984-1977","0.03","1","0.22","1","0.03","0.11",,"0.12"
"1985-1978","1","1","1","1","1","0.27",,"0.5"
"1986-1979","0.54","1","1","1","0.54","0.32",,"0.56"
"1987-1980","0.11","1","0.05","0.19","0.11","0.51",,"0.03"
"1988-1981","0.73","1","1","1","0.73","0.38",,"0.47"
"1989-1982","0.16","1","0.24","0.24","0.16","0.43",,"0.75"
"1990-1983","0.32","1","1","1","0.32","0.27",,"0.09"
"1991-1984","0.19","1","1","1","0.19","0.14",,"0.25"
"1992-1985","0.43","1","0.19","1","0.43","0.22",,"0.41"
"1993-1986","1","1","1","1","1","0.54",,"0.69"
"1994-1987","1","1","1","1","1","0.95",,"0.91"
"1995-1988","0.68","1","1","1","0.68","0.35",,"0.44"
"1996-1989","0.05","1","0.11","0.14","0.05","0.08",,"0.62"
"1997-1990","0.43","1","1","1","0.43","0.16",,"0.28"
"1998-1991","1","1","1","1","1","0.3",,"1"
"1999-1992","1","1","1","1","1","0.49",,"0.88"
"2000-1993","0.49","1","1","1","0.49","0.73",,"0.34"
"2001-1994","0.35","1","1","1","0.35","0.05",,"0.19"
"2002-1995","0.08","1","0.08","0.14","0.08","0.03",,"0.16"
"2003-1996","0.51","1","1","1","0.51","0.65",,"0.59"
"2004-1997","0.38","1","0.03","0.27","0.38","0.19",,"0.22"
"2005-1998","0.59","1","1","0.03","0.59","0.7",,"0.53"
"2006-1999","0.14","1","0.16","1","0.14","0.41",,"0.81"
"2007-2000","1","1","1","1","1","0.57","0.45","0.97"
"2008-2001","0.65","1","1","1","0.65","0.76","0.18","0.78"
"2009-2002","0.27","1","1","1","0.27","0.46","0.09","0.66"
"2010-2003","0.3","1","1","0.05","0.3","0.84","0.64","0.94"
"2011-2004","0.46","1","1","1","0.46","0.92","0.73","0.38"
"2012-2005","0.57","1","1","0.08","0.57","0.81","0.82","0.31"
"2013-2006","0.76","1","1","1","0.76","0.59","0.36","0.72"
"2014-2007","1","1","1","0.24","1","0.97","1","0.84"
"2015-2008","0.7","1","1","0.16","0.7","0.68","0.27",
"2016-2009","0.62","1","1","1","0.62","0.86","0.91",
"2017-2010","0.78","1","1","1","0.78","0.62","0.55",
"2018-2011","1","1","1","1","1","1",,
"2019-2012","0.22","1","1","0.3","0.22","0.89",,
