"","V1","V2","V3","V4","V5","V6","V7","V8"
"Data","Rank","Rank","Rank","Rank","Rank","Rank","Rank","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"1983-1976","0.54","0.32","0.19","0.24","0.54","0.03",,"0.53"
"1984-1977","0.05","0.38","0.05","0.11","0.05","0.35",,"0.03"
"1985-1978","0.24","0.27","0.38","0.54","0.24","0.27",,"0.81"
"1986-1979","0.59","0.7","0.73","0.86","0.59","0.97",,"0.94"
"1987-1980","0.95","0.84","1","0.78","0.95","0.7",,"0.84"
"1988-1981","0.65","0.78","0.78","0.86","0.65","0.08",,"0.62"
"1989-1982","0.73","0.62","0.76","0.92","0.73","0.68",,"0.38"
"1990-1983","0.35","0.27","0.27","0.43","0.35","0.59",,"0.16"
"1991-1984","0.78","0.76","0.7","0.73","0.78","0.22",,"0.78"
"1992-1985","0.03","0.05","0.03","0.11","0.03","0.32",,"0.88"
"1993-1986","0.68","0.73","1","0.86","0.68","0.54",,"0.22"
"1994-1987","0.84","0.65","0.57","0.62","0.84","0.89",,"0.28"
"1995-1988","0.11","0.08","0.08","0.03","0.11","0.73",,"0.75"
"1996-1989","0.97","1","1","1","0.97","1",,"0.56"
"1997-1990","0.43","0.89","0.68","0.54","0.43","0.86",,"0.5"
"1998-1991","0.89","0.32","0.43","0.41","0.89","0.46",,"0.31"
"1999-1992","0.49","0.27","0.41","0.19","0.49","0.57",,"0.47"
"2000-1993","0.46","0.57","0.24","0.14","0.46","0.65",,"0.12"
"2001-1994","0.08","0.51","0.62","0.76","0.08","0.95",,"0.25"
"2002-1995","0.16","0.41","0.32","0.27","0.16","0.19",,"0.06"
"2003-1996","0.27","0.35","0.65","0.57","0.27","0.38",,"0.59"
"2004-1997","0.38","0.27","0.3","0.68","0.38","0.24",,"0.19"
"2005-1998","0.41","0.27","0.11","0.11","0.41","0.49",,"0.69"
"2006-1999","0.57","0.43","0.54","0.32","0.57","0.81",,"0.44"
"2007-2000","0.19","0.59","0.81","0.7","0.19","0.84","0.91","1"
"2008-2001","0.32","0.86","1","0.68","0.32","0.43","0.18","0.91"
"2009-2002","0.7","0.49","0.59","0.3","0.7","0.05","1","0.66"
"2010-2003","0.92","1","1","0.92","0.92","0.62","0.27","0.97"
"2011-2004","0.76","0.7","0.51","0.35","0.76","0.76","0.55","0.34"
"2012-2005","0.51","0.49","0.46","0.59","0.51","0.51","0.82","0.72"
"2013-2006","0.3","0.03","0.22","0.54","0.3","0.3","0.45","0.09"
"2014-2007","0.22","0.11","0.16","0.38","0.22","0.14","0.64","0.41"
"2015-2008","0.14","0.14","0.14","0.16","0.14","0.11","0.09",
"2016-2009","0.81","0.81","0.51","0.54","0.81","0.41","0.73",
"2017-2010","0.62","0.54","0.35","0.22","0.62","0.78","0.36",
"2018-2011","0.86","1","0.84","1","0.86","0.16",,
"2019-2012","1","1","1","1","1","0.92",,
